product,binary file,Series,download_link,file_name,publish_date,bin_file_size[B],comment
P3X,P3X_FW_V01.09.0021.bin,DJI phantom 3 Professional,http://dl.djicdn.com/downloads/phantom_3/P3X_FW_V01.09.0021.zip,P3X_FW_V01.09.0021.zip,,,
P3X,P3X_FW_V01.09.0060.bin,DJI phantom 3 Professional,http://dl.djicdn.com/downloads/phantom_3/P3X_FW_V01.09.0060.zip,P3X_FW_V01.09.0060.zip,,,
P3X,P3X_FW_V01.10.0090.bin,DJI phantom 3 Professional,http://dl.djicdn.com/downloads/phantom_3/P3X_FW_V01.10.0090.zip,P3X_FW_V01.10.0090.zip,,,
P3X,P3X_FW_V01.11.0020.bin,DJI phantom 3 Professional,https://dl.djicdn.com/downloads/phantom_3/20170706/P3P_FW_V01.11.0020.bin.zip,P3P_FW_V01.11.0020.bin.zip,,,latest available
P3XS,P3XS_FW_RC_V01.03.0020.bin,DJI phantom 3 RC,http://download.dji-innovations.com/downloads/phantom_3/P3XS_FW_RC_V01.03.0020.bin,P3XS_FW_RC_V01.03.0020.bin,8/7/2017,29847336,
P3XW,P3XW_FW_V01.00.0010.bin,DJI Phantom 3 4K,https://dl.djicdn.com/downloads/phantom_3_4k/P3XW_FW_V01.00.0010.bin,P3XW_FW_V01.00.0010.bin,8/7/2017,66227706,
P3XW,P3XW_FW_V01.01.0000.bin,DJI Phantom 3 4K,https://dl.djicdn.com/downloads/phantom_4k/P3XW_FW_V01.01.0000.bin,P3XW_FW_V01.01.0000.bin,,66218566,
P3XW,P3XW_FW_V01.02.0010.bin,DJI Phantom 3 4K,https://dl.djicdn.com/downloads/phantom_3_4k/P3XW_FW_V01.02.0010.bin,P3XW_FW_V01.02.0010.bin,,66259164,
P3XW,P3XW_FW_V01.03.0010.bin,DJI Phantom 3 4K,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/P34K/P3XW_FW_V01.03.0010.bin,P3XW_FW_V01.03.0010.bin,10/3/2016,65853142,
P3XW,P3XW_FW_V01.03.0020.bin,DJI Phantom 3 4K,https://dl.djicdn.com/downloads/phantom_3_4k/P3XW_FW_V01.03.0020.bin,P3XW_FW_V01.03.0020.bin,9/3/2016,66263232,
P3XW,P3XW_FW_V01.04.0030.bin,DJI Phantom 3 4K,https://dl.djicdn.com/downloads/phantom_3_4k/P3XW_FW_V01.04.0030.bin,P3XW_FW_V01.04.0030.bin,,66266844,
P3XW,P3XW_FW_V01.04.0036.bin,DJI Phantom 3 4K,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/P34K/P3XW_FW_V01.04.0036.bin,P3XW_FW_V01.04.0036.bin,26/4/2016,66449328,
P3XW,P3XW_FW_V01.04.0037.bin,DJI Phantom 3 4K,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/P34K/P3XW_FW_V01.04.0037.bin,P3XW_FW_V01.04.0037.bin,26/4/2016,7995634,
P3XW,P3XW_FW_V01.05.0040.bin,DJI Phantom 3 4K,http://dl.djicdn.com/downloads/phantom_3_4k/P3XW_FW_V01.05.0040.bin,P3XW_FW_V01.05.0040.bin,9/5/2016,66449328,
